country_code,decade,contemporaneous_effect
LBR,2000s,9.542537995695184
LBR,2010s,-1.216742972422202
LBR,2020-2024,-0.770357375752637
LBY,1960s,-2.0821513560616265
LBY,1970s,-2.2748141074835964
LBY,1980s,-4.664908644005119
LBY,1990s,0.03576953185306886
LBY,2000s,6.988133572765223
LBY,2010s,-5.02717258183791
LBY,2020-2024,0.7604333074804298
LCA,1960s,-4.624013568908165
LCA,1970s,2.066685582335942
LCA,1980s,-3.671668644923526
LCA,1990s,-3.1740232925794927
LCA,2000s,0.2351109940216777
LCA,2010s,-4.485093818827589
LCA,2020-2024,-0.056828544000241316
LIE,1960s,-0.9804204752307317
LIE,1970s,5.063838915709439
LIE,1980s,0.37336074766066496
LIE,1990s,-4.423100221620572
LIE,2000s,5.577270068875628
LIE,2010s,2.337143498201771
LIE,2020-2024,-0.3015178854554658
LKA,1960s,-1.4552161796754268
LKA,1970s,2.3354256109857126
LKA,1980s,-0.5801761696325
LKA,1990s,0.8500712505557169
LKA,2000s,3.3544623868003285
LKA,2010s,2.1562028616729085
LKA,2020-2024,-0.04255975196236779
LSO,1960s,6.816708166956767
LSO,1970s,3.5733022756978103
LSO,1980s,2.5488769898584165
LSO,1990s,-2.079412130891211
LSO,2000s,2.5665815054803973
LSO,2010s,-2.7464857829305434
LSO,2020-2024,0.394950786056385
LTU,1960s,-1.0495166681296484
LTU,1970s,2.4840653433866264
LTU,1980s,0.07361106395286565
LTU,1990s,12.531013154615971
LTU,2000s,-0.09434507472403503
LTU,2010s,1.1013906046208368
LTU,2020-2024,-0.8279410701737444
LUX,1960s,-1.1822645582695233
LUX,1970s,2.296680366651291
LUX,1980s,1.1232542727073271
LUX,1990s,0.17122494342864802
LUX,2000s,-3.082234853395592
LUX,2010s,-1.3314604995230825
LUX,2020-2024,-0.5182389277655212
LVA,1960s,-2.9000728255868804
LVA,1970s,1.167607650207228
LVA,1980s,1.6850972880786537
LVA,1990s,11.510541577282977
LVA,2000s,-0.6166593027410578
LVA,2010s,1.3422785613745298
LVA,2020-2024,-0.10642546610009404
MAR,1960s,-0.7523864803659571
MAR,1970s,0.6089707261037044
MAR,1980s,0.3837471141447637
MAR,1990s,2.3069184089297936
MAR,2000s,1.3050828346186452
MAR,2010s,0.004209733013235774
MAR,2020-2024,-0.3684286905403204
MCO,1960s,-0.18612931259200147
MCO,1970s,0.11749962571656107
MCO,1980s,1.2352033982968098
MCO,1990s,2.5025198825338273
MCO,2000s,9.972854102102879
MCO,2010s,-0.48256043081194416
MCO,2020-2024,0.004661590210124491
MDA,1960s,4.885544081014031
MDA,1970s,0.9170558191300325
MDA,1980s,3.740868350400742
MDA,1990s,10.125755954552012
MDA,2000s,-3.250628315986016
MDA,2010s,0.6179801234986234
MDA,2020-2024,0.5601301872414651
MDG,1960s,-3.230364863134654
MDG,1970s,-5.63470478804682
MDG,1980s,2.8202270405918264
MDG,1990s,-1.7699753305915007
MDG,2000s,-2.606746608442277
MDG,2010s,6.295948527533643
MDG,2020-2024,-0.07592182192413573
MDV,1960s,6.189932788090184
MDV,1970s,-1.6721726643147412
MDV,1980s,5.113352442678861
MDV,1990s,-3.4325698188352716
MDV,2000s,5.10918036893946
MDV,2010s,-5.626151474839934
MDV,2020-2024,1.5872043871723776
MEX,1960s,0.8625903959480208
MEX,1970s,0.18767781491374097
MEX,1980s,0.16615246991522017
MEX,1990s,1.4773838511035449
MEX,2000s,-2.238024853633809
MEX,2010s,-0.5460883066128563
MEX,2020-2024,0.06072026673418962
MHL,1960s,4.253892510638007
MHL,1970s,-1.857062004270556
MHL,1980s,1.223180079913923
MHL,1990s,1.2801832335755439
MHL,2000s,-0.6591236387861363
MHL,2010s,-0.42142716939395525
MHL,2020-2024,-0.4677540458393496
MKD,1960s,2.83178682853495
MKD,1970s,-1.7532017790107401
MKD,1980s,-2.1299873547366506
MKD,1990s,10.646869790572275
MKD,2000s,-0.5754846332187245
MKD,2010s,-1.8407982696734926
MKD,2020-2024,-0.8120136634849633
MLI,1960s,-7.783003362998926
MLI,1970s,1.268707165115451
MLI,1980s,1.551529137517746
MLI,1990s,3.610687438514643
